Tk;Rohm;Inc;Inc
95,2;58,7;0,1;0,1
89,7;62,5;0,1;0,1
89,1;63;0,1;0,1
88,4;63,5;0,1;0,1
87,7;64;0,1;0,1
85,9;64,5;0,1;0,1
84,3;65;0,1;0,1
;65,5;0,1;0,1
;66;0,1;0,1
80,4;66,5;0,1;0,1
78,5;67;0,1;0,1
77,6;67,5;0,1;0,1
;68;0,1;0,1
74,3;69;0,1;0,1
73,3;69,5;0,1;0,1
72,2;70;0,1;0,1
71,2;70,5;0,1;0,1
70,4;71;0,1;0,1
69,1;71,5;0,1;0,1
67,9;72;0,1;0,1
66,9;72,5;0,1;0,1
;73;0,1;0,1
;73,5;0,1;0,1
61,5;74;0,1;0,1
60,3;74,5;0,1;0,1
59,6;75;0,1;0,1
58,5;75,5;0,1;0,1
57,8;76;0,1;0,1
56,6;76,5;0,1;0,1
55,8;77;0,1;0,1
55;77,5;0,1;0,1
54;78;0,1;0,1
53;78,5;0,1;0,1
50,6;79;0,1;0,1
49;79,5;0,1;0,1
46,2;80;0,1;0,1
44,9;80,5;0,1;0,1
44,6;81;0,1;0,1
43,4;81,5;0,1;0,1
42,5;82;0,1;0,1
41,6;82,5;0,1;0,1
40,4;83;0,1;0,1
39,3;83,5;0,1;0,1
38,3;84;0,1;0,1
;84,5;0,1;0,1
;85;0,1;0,1
;85,5;0,1;0,1
;86;0,1;0,1
;86,5;0,1;0,1
22,4;87;0,1;0,1
;87,5;0,1;0,1
18;88;0,1;0,1
;88,5;0,1;0,1
15,4;89;0,1;0,1
;89,5;0,1;0,1
12,1;90;0,1;0,1
;90,5;0,1;0,1
8,4;91;0,1;0,1
;;0,1;0,1
;;0,1;0,1
8,3;92,8;0,1;0,1
4,3;94;0,1;0,1
1,8;95;0,1;0,1
-0,3;96;0,1;0,1
-3,1;98;0,1;0,1
-3,8;99;0,1;0,1
-5,1;100;0,1;0,1
;101;0,1;0,1
-7,9;102;0,1;0,1
